participant,trial,reachdev
han001,1,2.18756204367809
han001,2,NA
han001,3,52.6850161839922
han001,4,29.4608353577925
han001,5,27.3378876657431
han001,6,33.351817595252
han001,7,37.7854898399511
han001,8,10.3487065924085
han001,9,33.3158866446876
han001,10,26.8232515238106
han001,11,26.2292741388416
han001,12,27.8598396000855
han001,13,18.8873592157684
han001,14,31.0919877269217
han001,15,26.9171414082902
han001,16,35.7842577926991
han001,17,37.3866432208813
han001,18,44.7974983720789
han001,19,24.4603038054522
han001,20,21.5932763725798
han001,21,33.5847830082029
han001,22,45.7506381083321
han001,23,35.7033693090267
han001,24,20.2830400320376
han001,25,29.1071263147892
han001,26,34.5590647100535
han001,27,19.9485672817523
han001,28,25.062970408768
han001,29,19.6472436419126
han001,30,37.1935725518723
han001,31,33.3681175910451
han001,32,31.0717686784413
han001,33,21.9619717881351
han001,34,34.2049849659496
han001,35,34.7024128700418
han001,36,51.3151803868311
han001,37,23.7733266763021
han001,38,49.2769245033957
han001,39,67.1401977529674
han001,40,18.7110956575433
han001,41,47.6723759728593
han001,42,41.0827914190827
han001,43,35.627708506398
han001,44,14.7671401020211
han001,45,34.1863579366008
han001,46,37.4343148471165
han001,47,30.6814916121109
han001,48,17.038650567987
han001,49,33.5816115627162
han001,50,8.65329702257794
han001,51,33.883741369732
han001,52,34.2030233285378
han001,53,24.3090240970528
han001,54,31.2802872848405
han001,55,18.5962883499895
han001,56,48.871644657863
han001,57,36.7400681978667
han001,58,36.5934272474266
han001,59,23.5495287279677
han001,60,36.7989777919678
han001,61,41.6151205711942
han001,62,44.5883202057166
han001,63,33.6868502427886
han001,64,45.9269000989848
han001,65,27.9744797956654
han001,66,29.7396512876227
han001,67,18.1633966187771
han001,68,36.8595761260941
han001,69,49.0329962529327
han001,70,10.7043057710505
han001,71,47.0034343181231
han001,72,34.2874072770275
han001,73,27.9561039418984
han001,74,40.5236743062506
han001,75,30.5290068460349
han001,76,24.0575416881477
han001,77,22.8608540607936
han001,78,34.0535862856288
han001,79,19.0561035207744
han001,80,34.3271468358721
han001,81,28.5978681043628
han001,82,41.0218169910736
han001,83,20.7238366954137
han001,84,20.3085583543164
han001,85,39.6985284750686
han001,86,54.590298294237
han001,87,25.6183806821538
han001,88,37.8828691028027
han001,89,25.2519969948739
han001,90,26.5837095123378
han002,1,-3.8535597158594
han002,2,0.455821082699542
han002,3,13.2688151553823
han002,4,1.84955316305035
han002,5,-4.01786845804854
han002,6,12.3017039868956
han002,7,12.3043459393971
han002,8,27.6685768320006
han002,9,16.2414844898327
han002,10,13.6999237099672
han002,11,15.4650460587781
han002,12,12.8354936619339
han002,13,31.4453772314269
han002,14,12.6341658305218
han002,15,34.0539465807824
han002,16,25.5205737464896
han002,17,29.4606946444892
han002,18,24.8917009382766
han002,19,35.655807326867
han002,20,42.4925653532792
han002,21,15.9679242338661
han002,22,26.2722752588224
han002,23,17.5025631029689
han002,24,19.1738184889136
han002,25,29.4382478095829
han002,26,10.9117462448265
han002,27,19.4100705532051
han002,28,17.1759584222537
han002,29,19.341496837432
han002,30,16.7890188101911
han002,31,18.2121955473768
han002,32,27.5877818476336
han002,33,36.3775981150249
han002,34,42.0595245402296
han002,35,29.6102388024144
han002,36,23.2420009500351
han002,37,28.5065529609706
han002,38,15.7424428679158
han002,39,24.9177000579886
han002,40,23.1865346847988
han002,41,20.2204697604965
han002,42,34.2090672737731
han002,43,32.030664624154
han002,44,25.2264046881687
han002,45,7.51406808473597
han002,46,25.4754939702389
han002,47,30.7910585120882
han002,48,29.4088744009364
han002,49,22.2224189518641
han002,50,9.79972865032947
han002,51,40.6395934744477
han002,52,23.9530619824993
han002,53,28.4393339186671
han002,54,13.6585002492442
han002,55,30.052864692769
han002,56,31.3759021975842
han002,57,21.2659565722334
han002,58,22.7407533401717
han002,59,12.750572274584
han002,60,19.8181029970177
han002,61,26.6187322072401
han002,62,17.1440901507092
han002,63,15.8982610501207
han002,64,25.9954843366326
han002,65,28.7861515061354
han002,66,18.5090564295472
han002,67,27.7085375727897
han002,68,12.2533418771857
han002,69,28.5340379329502
han002,70,25.9424119219807
han002,71,38.2582884606407
han002,72,40.4849793957758
han002,73,39.8812880302146
han002,74,30.3125598795977
han002,75,51.3259021306032
han002,76,28.6933579303222
han002,77,43.2135390516776
han002,78,18.3407612518794
han002,79,15.7942062303371
han002,80,18.5778901846431
han002,81,28.5016933925769
han002,82,32.5774153897763
han002,83,26.4096820844876
han002,84,33.9791238467606
han002,85,25.8625291700475
han002,86,26.2940771622603
han002,87,24.6761878027145
han002,88,25.9323213291789
han002,89,27.9871646967352
han002,90,43.7005944961945
han003,1,-24.5667641509139
han003,2,3.05699115799271
han003,3,-2.22861160188746
han003,4,0.0683662499557425
han003,5,12.5041985960781
han003,6,14.0228462548398
han003,7,22.1571150239731
han003,8,38.866376864068
han003,9,-4.8445355730447
han003,10,9.91631882955856
han003,11,16.5991482906066
han003,12,51.2967930288511
han003,13,13.9326774664428
han003,14,-6.86172098027349
han003,15,5.88953409070611
han003,16,26.4204070683558
han003,17,14.7721170719518
han003,18,-3.82958421792951
han003,19,8.5398697379368
han003,20,30.2523918219208
han003,21,11.7423255322508
han003,22,7.6010534238912
han003,23,32.7653125887146
han003,24,10.6171831287079
han003,25,13.9864465819114
han003,26,6.6391216801158
han003,27,20.6132300916009
han003,28,0.86764086816012
han003,29,-11.4335330326534
han003,30,6.91594818153601
han003,31,0.2489198930204
han003,32,2.10845726249907
han003,33,18.2176859941537
han003,34,29.6067905845576
han003,35,27.9107181854495
han003,36,10.7232493081585
han003,37,-4.16910704535403
han003,38,2.40582819502249
han003,39,2.06618022137391
han003,40,10.6317407809376
han003,41,16.4649101364277
han003,42,19.967720733614
han003,43,13.7761120605481
han003,44,8.79460285686417
han003,45,6.6133474143391
han003,46,16.2698136600241
han003,47,9.78566659369136
han003,48,43.8642987208393
han003,49,43.3685174292287
han003,50,57.0321087097103
han003,51,13.4253163101677
han003,52,5.23772053675531
han003,53,4.35386488109492
han003,54,35.0853487800124
han003,55,33.4813269858176
han003,56,24.3595729591649
han003,57,25.6479811367599
han003,58,35.1839221167229
han003,59,26.9341826323718
han003,60,49.9353299666016
han003,61,33.5684358769734
han003,62,17.7026796591699
han003,63,24.1973831886652
han003,64,3.56564162313421
han003,65,18.758470900127
han003,66,25.6727441519378
