"angle","ALact_p2.5","ALact_p50","ALact_p97.5","ROact_p2.5","ROact_p50","ROact_p97.5","act_p2.5","act_p50","act_p97.5","ALpas_p2.5","ALpas_p50","ALpas_p97.5","ROpas_p2.5","ROpas_p50","ROpas_p97.5","pas_p2.5","pas_p50","pas_p97.5","PredCons_p2.5","PredCons_p50","PredCons_p97.5"
50,-9.44728012572109,-6.25518544885689,-3.06309077199268,-14.977085318627,-11.2412370416772,-7.5053887647273,-7.71792856118975,-4.98605159282029,-2.25417462445082,-12.6837959054805,-8.67736538089958,-4.67093485631869,-13.8900020673889,-10.2292819650582,-6.56856186272747,-3.5673192100846,-1.5519165841586,0.463486041767392,-5.37391241540765,-3.43413500866168,-1.49435760191572
90,-2.91132667508306,-0.491932724959573,1.92746122516391,-8.18090148793124,-5.85928570159064,-3.53766991525004,-7.42614260455164,-5.36735297663107,-3.30856334871049,-3.97864038683629,-1.75066030814995,0.477319770536385,-7.98797061150152,-5.23738332239154,-2.48679603328157,-5.37000871366297,-3.48672301424159,-1.6034373148202,-3.51133699445445,-1.88062996238948,-0.249922930324509
130,3.07013884473197,5.08514218755256,7.10014553037315,-4.2945206662344,-1.61627276418205,1.0619751378703,-9.30987008450109,-6.70141495173461,-4.09295981896812,2.70051770734323,5.1024714518053,7.50442519626737,-4.7994225686199,-1.40611923532097,1.98718409797796,-10.0387644246669,-6.50859068712627,-2.9784169495856,-2.46524807129467,-0.192824264608334,2.079599542078
