"trial","imp001","imp002","imp003","imp004","imp005","imp006","imp007","imp008","imp009","imp010","imp011","imp012","imp013","imp014","imp015","imp016","imp017","imp018","imp019","imp020"
1,NA,1.15427178046268,13.741232050714,-4.57969854985637,-0.377930633231256,NA,10.9066408515271,-6.16366666190071,3.61743137163883,5.47652879074117,-2.72574687459603,-9.34832312915703,-10.0610035242268,-14.6864881166859,NA,-3.68636049650663,-16.4214334323095,-10.3432451703812,5.58249726789959,NA
2,13.5815502049339,6.17866180629685,25.324236067549,-7.97920283287754,8.6049750474117,-2.22857450949458,29.4734070469754,-2.90015002001456,35.3264753135015,-5.01357228585866,0.81357346116051,6.56360607233619,1.4203147174306,-14.9923548257648,NA,-1.39023676313857,10.1186199208902,10.7735984501975,9.35016680180768,10.7612315733671
3,2.25793591550915,37.184623826812,18.0421676504815,29.2689456086171,-3.41363520798899,NA,-1.06693009898084,9.10087468841332,-1.61967218346943,4.69798175772177,0.976807831667428,14.4320342130092,10.277067684914,11.1842265887029,19.4771462255104,12.0796750131555,15.8309076083182,-8.56749909083728,7.30934463514307,2.08023753491288
4,34.104447768321,14.0612684315307,28.7523086599328,10.3429437955248,22.7502906933099,22.1060053803667,30.4599004625619,23.6241328193774,6.53155668789167,11.0633620635821,-1.98280163723609,7.48617410984255,10.9807217476275,35.0526287473164,34.2640849326046,6.72771125205821,3.14557234866404,15.7359630883152,-10.7140774388692,17.507264300941
5,11.7598789501703,3.41818101878448,15.9185118985648,24.6940597118803,-10.8894716272861,18.3100827593504,37.5324210607927,17.9430844277481,18.2450178292727,4.37554895194894,14.8144878918367,15.1275966211113,-16.6054237584943,13.693246849977,11.8328952775629,5.80032834613593,9.09417795476362,7.51720427395009,-4.5381466842273,26.582732159021
6,39.7333330511898,34.1360704456982,25.1487196764456,7.61467835904018,-5.68530420956785,5.66599792382741,26.1976204169571,21.2573593382555,1.45299723020313,10.3188484016921,4.97550943964075,-9.93075259154945,25.9234001248777,13.9955175243079,8.33234317667412,2.23559285502095,15.7439951770358,17.178401245891,-7.42400389077353,16.9499960552955
7,17.3855832081899,33.1214400981344,13.2649062286836,-10.9445572881028,24.2620585715692,10.7529355249875,40.3366528342503,28.8899800788983,43.274871601801,4.13168801550976,24.4173572659696,5.1226541162059,28.5579205745274,20.774246928016,30.7867259016481,9.4423281879814,20.545570658316,25.1090468138242,-1.84166668081593,17.6977037338825
8,10.1797005922446,31.3462478307586,32.9746941761096,7.25407752947806,-6.51912418052012,11.216624944106,7.37865878298468,20.3045567847718,25.8803154447383,16.2925073983267,2.5437534463373,15.7763118463222,-8.71087521631877,18.0126830616379,23.0087845609869,6.69678081543691,15.8644139229704,16.5813980555721,-4.49430930138849,16.7609032653883
9,28.2450545837598,37.9672655167383,24.9685151468287,27.1947947656724,-13.6217558663699,20.7807334459652,43.9433650264664,13.6104925706174,21.2004881597628,8.79581084040861,14.5594358586115,28.3534285051174,2.80103879409681,21.8182449871831,13.7263747648783,22.8232338663771,11.6435237677226,12.1766582575125,2.05524727087847,13.9195475454332
10,14.3987208214998,26.6447733589757,17.1125271151692,41.8622024024092,-10.0922498122451,18.6194590240149,58.7093670877312,22.9404806055395,9.24868912282656,14.108022023532,57.6392803866555,9.46898225636573,23.9334122159078,8.7655608304992,21.98304199319,19.7592686220716,13.098123971864,24.5296659696792,5.74536195296088,18.2465815196698
11,11.6708511533446,11.2072043999156,20.1450124328449,10.2653993269976,2.14595574339624,16.5911413839501,46.2338523724608,34.295928358562,64.8699550455888,22.1048125830575,19.6697668992921,-11.9798524604074,17.8682252370762,6.24859026795205,26.1306423518267,21.2814384759254,9.3542964956434,13.9544866846328,7.11066553055364,25.7792455843023
