"V1","V2","V3"
16.9128861235772,23.9520176164414,30.9911491093057
12.0278778158583,19.458858099911,26.8898383839638
15.0614456975386,22.1376135367149,29.2137813758912
17.0159009388774,22.65247027865,28.2890396184226
12.0133411066194,16.7772255216126,21.5411099366059
16.7097405695466,21.9048812855516,27.1000220015567
18.6554721897756,22.4496837680084,26.2438953462412
15.6395228723707,19.7865454903855,23.9335681084003
15.1250926800541,19.0081867072891,22.8912807345241
17.4536361818054,21.3578758983355,25.2621156148657
20.0947489315449,25.6623462084481,31.2299434853513
16.6578104604504,22.2029940276718,27.7481775948933
17.9065690457908,22.4302956701233,26.9540222944558
18.8386128783189,23.0921354653056,27.3456580522923
16.7278885615519,20.674343309769,24.6207980579862
17.1835803291828,21.0635638319715,24.9435473347602
16.5384219423184,21.0915829746668,25.6447440070152
23.2408903716267,31.1033784324203,38.9658664932138
16.8611534835106,20.9911647905334,25.1211760975562
17.7990269166477,21.956449730392,26.1138725441363
16.7955778360393,24.4374135595925,32.0792492831457
15.8566516858782,21.7979589641498,27.7392662424213
19.9969924909654,23.8998238485631,27.8026552061608
17.3189470597567,22.4349478244437,27.5509485891307
18.5714108989011,23.2399273468638,27.9084437948265
19.9751942026281,24.6213865944837,29.2675789863394
20.8617451475982,25.1012955971394,29.3408460466805
20.4064532121212,25.5510467405646,30.6956402690081
20.6770917089784,26.0250607338172,31.3730297586561
18.3306539686897,21.6541308242793,24.977607679869
21.5759804399689,24.5824308212317,27.5888812024945
15.4160284208692,20.2753126286991,25.134596836529
19.503549328755,23.0207059621764,26.5378625955979
20.50175809355,25.520904738671,30.540051383792
18.4470190325167,22.6378579110649,26.828696789613
19.7927229149494,23.8639826318791,27.9352423488089
19.1332705220643,22.5575802404067,25.981889958749
19.6291913094199,23.5984305258242,27.5676697422286
15.3044505386968,20.3511568987655,25.3978632588343
17.5743166197996,22.9502292490008,28.3261418782021
22.5430140889377,26.786418550892,31.0298230128463
19.173996343906,22.3945587247896,25.6151211056732
29.0560380065455,33.3380704027711,37.6201027989968
17.0008634169275,25.5605956664374,34.1203279159474
20.359466862115,24.4819761496124,28.6044854371098
20.0539056601952,23.8337467134464,27.6135877666976
20.7789934405667,24.7707561796352,28.7625189187037
19.5521690536753,22.7434559367299,25.9347428197846
20.5295365956987,24.4295965197924,28.3296564438862
22.4788708791593,26.2622836850549,30.0456964909505
19.7586001816677,24.3715807818766,28.9845613820855
21.7959997323373,26.4623124179637,31.1286251035901
24.3759464661119,27.9374285516482,31.4989106371844
17.9589372930944,22.2864580177915,26.6139787424887
20.8577482342547,25.6423709974526,30.4269937606506
17.23168483156,20.8002510687777,24.3688173059955
22.6573389088821,25.8693816100311,29.08142431118
20.3380615997983,26.1607866668369,31.9835117338754
20.4239111624654,25.5086093303525,30.5933074982397
21.576560214801,26.2586537199155,30.94074722503
23.4420187765799,28.1148687050817,32.7877186335836
16.6244838066066,22.2242753346215,27.8240668626365
17.7642344271971,21.6420307460764,25.5198270649558
21.1617969845087,25.7817838319169,30.4017706793251
18.8147485974979,24.7949509864977,30.7751533754976
20.5359904150701,24.0728148895399,27.6096393640097
21.3613569950077,25.1859888309908,29.0106206669738
21.4193936062592,25.0529435196548,28.6864934330505
19.5715171090707,23.3681465470237,27.1647759849767
18.099415667604,24.4353988166861,30.7713819657682
25.5987518540028,30.3459273966594,35.093102939316
18.525908448938,22.8687862126915,27.211663976445
21.9917190534832,25.9384202357663,29.8851214180493
23.0358697901959,26.5716574068175,30.107445023439
18.5545352337608,21.7267875020791,24.8990397703975
23.5660968286432,26.8108698807294,30.0556429328157
21.2523197804839,25.1468597510507,29.0413997216176
20.3253759590391,23.7451533356415,27.1649307122438
19.2109497487736,24.6266815513155,30.0424133538573
21.2822303669372,25.244615772293,29.2070011776489
25.5351794186653,27.5802697773795,29.6253601360936
21.5045303468597,26.3846008939553,31.2646714410508
24.1332938942686,28.8404145172455,33.5475351402225
18.4594695543186,22.3046478935828,26.1498262328471
23.0387854016465,26.523114033314,30.0074426649815
23.3565445680957,25.8278472625317,28.2991499569677
20.2685273230884,24.9960656439379,29.7236039647873
23.359803613706,28.8119308785649,34.2640581434238
20.9406655660134,27.7891041930445,34.6375428200757
18.4735952882262,23.4645332846208,28.4554712810154
