participant,target_angle,aligned,exclusive,inclusive
han001,45,4.6997015286955,8.78033089393553,51.1195016897615
han001,90,-0.644141522768043,2.10914863896371,44.7746677826036
han001,135,1.32213252400332,2.48018093030101,41.0437368744955
han002,45,-4.81550616763117,-8.9744279793083,31.7681406569065
han002,90,9.58546155298463,8.24253075697559,43.961058198645
han002,135,14.4856437447993,14.5039680668609,41.403336796814
han003,45,3.70988080573383,5.46651276563778,37.5010509342697
han003,90,1.24346948411444,3.23280052416164,24.9704400623913
han003,135,-1.60184079397587,1.2403780140144,29.0654781412615
han004,45,-0.545975957222101,5.02381182930045,35.7033979935111
han004,90,-2.58632094680428,1.41449902621673,36.40607146015
han004,135,-1.24521680161337,6.18629544773682,35.8536499061002
han005,45,0.89899677337446,4.30946328458723,21.2416961692482
han005,90,2.2866448504522,9.55276035302306,28.1317348229885
han005,135,3.62332457657244,10.9192453681138,26.7787405572413
han006,45,0.92945716208585,4.58002455493114,31.5203942471146
han006,90,-0.877852670253311,6.71060411556548,32.0949210724334
han006,135,-1.95805638770145,4.45062861610783,28.2251250335843
han007,45,-2.26815781324689,-5.04950512963792,-3.07831711256826
han007,90,-3.57789957700352,-3.4173153734784,-2.71983153817836
han007,135,-3.86943014798702,1.84691166452689,0.0995388493593699
han008,45,-5.19280323008715,-5.06721511720396,23.1937585000766
han008,90,-1.69043521262624,0.289566543069056,30.6984579315207
han008,135,1.53510704663756,6.79804382451662,35.0006477125046
han009,45,1.23050610735253,7.74828626465288,23.6122750104336
han009,90,-3.58208881976932,2.39700783453255,19.8515964061082
han009,135,1.08309055043934,1.68282956850801,15.9476107814564
han010,45,0.542368493014104,8.60809799692663,26.8083842639545
han010,90,-0.990280001578655,0.670849735487903,21.9481659998361
han010,135,-3.96088101500807,-5.12345118122509,11.5252405719879
han011,45,-0.96998700555261,0.882097921213952,27.4603147466972
han011,90,-1.91993459337858,-1.70157497880784,32.1545849800956
han011,135,0.775412233722687,0.719749892027231,25.9550537153053
han012,45,-5.22689801229208,-2.9213682270156,25.1363619707977
han012,90,-3.55093163489674,4.88358202593962,31.8812727453934
han012,135,1.95069971171305,6.83046810293009,30.8007538881915
han013,45,-4.06878668508776,-3.15316243212013,26.2159318312865
han013,90,-4.17338046638741,-0.341290740205745,24.2334371263807
han013,135,0.623952507479907,0.200212079830489,25.510560088916
han014,45,1.19240076889464,6.11227863128738,34.2940555079246
han014,90,-3.24351081526968,7.30572731780277,41.1407801310466
han014,135,-1.57686024974298,3.05071290053123,33.5973712660403
han015,45,-2.03665153803384,6.63046253375456,6.46737240380699
han015,90,0.308345217104856,6.85312281499777,6.95755919803524
han015,135,-0.894146713227223,9.05740563749529,7.51598814869945
han016,45,-7.45666538137568,-0.791838879070008,36.2146510207131
han016,90,-0.650522836872799,4.20437506038768,42.0758966669336
han016,135,4.02203229230067,5.9128757730363,33.1265521345932
han017,45,-5.6201168967349,-4.39725015446166,25.913371973265
han017,90,-6.37282854940438,-2.04373504024047,25.6396977262644
han017,135,0.487189736025761,3.99278388681904,19.013056063421
han018,45,3.54247715975011,2.91618892894541,29.4193329789522
han018,90,0.653692639911205,0.854602582579334,32.0324226509282
han018,135,1.64940227565552,4.36558178889433,24.537638693281
han019,45,-0.127940401853552,4.6710189228847,47.5202931175705
han019,90,2.38012708762021,4.42852140197903,33.8095674876251
han019,135,1.93615176484531,5.04395220396935,38.4984190089757
han020,45,-3.39341019526723,-4.15375864189095,24.0050717862549
han020,90,1.059309005019,-1.22123007562647,27.8791962411131
han020,135,0.585788448715088,7.58334249479903,24.6557954502501
han021,45,-6.82685236288478,-8.51703525191566,24.4531870798403
han021,90,-0.711409596435729,-0.305352523105862,27.7438727474588
han021,135,1.10906584713425,3.63860465504111,31.539254922698
han022,45,-3.25857792119489,-6.22893482789324,19.8066665722218
han022,90,2.98509152644979,3.54817521861973,26.5318590251413
han022,135,4.6215515854982,7.75419744908793,20.1784676737876
han023,45,-5.71260318307608,-1.61786765761216,23.0639168656684
han023,90,-2.29428968272781,7.50983604722761,42.6272068763157
han023,135,3.55977291441326,9.50681343510568,34.2090426795932
han024,45,-2.45379771798534,4.12690342808877,28.4351210255571
han024,90,-0.905742184630042,10.1052790598896,20.6824929854336
han024,135,-0.365264720437259,3.49539928933231,16.2098831265352
han025,45,-4.81153292810076,-3.12806451761919,21.3403714869219
han025,90,-5.9346690275707,-0.28821727297678,25.2099316966154
han025,135,0.805687216303838,1.33049055248917,29.2871700799567
han026,45,-1.94861569854384,1.29514029636453,36.1527416328353
han026,90,-0.212331660358643,5.13264577228929,34.3628630856266
han026,135,0.101546242773168,5.81449824931482,26.9791479901517
han027,45,-5.09425181628726,-2.77782721035508,20.0760016446846
han027,90,7.39194246359573,10.2532096516765,35.7209398927551
han027,135,11.6669874303057,18.681084768831,38.0550697507045
han028,45,-1.98053475726572,-1.31271773543993,22.8806392725771
han028,90,-2.409301751475,-2.78782587025829,21.2732447462948
han028,135,0.551081964707842,-1.8123510980232,18.7491073694032
han029,45,-5.37225034311625,-11.6301157922649,23.2584228672507
han029,90,-6.85113141303827,-7.91532756394609,24.5603261387169
han029,135,-0.611799498681194,-5.83178056911873,30.8129673968932
