"V1","V2","V3"
-7.04471070888504,-2.36970590474175,2.30529889940153
0.914166396645917,7.0413855393005,13.1686046819551
3.95256314663339,9.44906527376905,14.9455674009047
10.1461464197394,16.0999729106832,22.0537994016269
5.37154760249289,11.2313206956432,17.0910937887935
6.36119383894236,12.6910159875081,19.0208381360738
12.8015543656996,19.2543723186738,25.7071902716481
7.53074839574577,12.9174051879971,18.3040619802485
11.7908563653636,17.848074890383,23.9052934154025
13.1981684007826,20.8360635734158,28.4739587460491
11.1128503965984,18.7473808933458,26.3819113900932
10.3253212973302,16.4595381636601,22.59375502999
13.5974895136131,18.9123426417828,24.2271957699524
10.5224679505385,19.4642157242106,28.4059634978828
17.1910164744217,23.0673344401706,28.9436524059195
16.8185074154601,21.5217045325927,26.2249016497253
16.0659291318641,20.3441699949681,24.6224108580721
13.8070858437406,18.0922526640166,22.3774194842925
17.3390901425531,22.8228849105897,28.3066796786263
13.127856996235,17.8122934396274,22.4967298830198
16.8180015079498,21.917244768267,27.0164880285841
19.436138825197,23.4896341176051,27.5431294100133
14.0029951207715,19.3953445702819,24.7876940197922
18.1849978613215,21.7415338566925,25.2980698520635
17.8808295958773,22.5252568651486,27.1696841344198
17.7758459077369,24.0603796136726,30.3449133196084
14.6299011985973,18.8553210156562,23.0807408327151
18.664371883381,24.4577033104695,30.2510347375579
19.1826189440147,22.7258452272254,26.269071510436
20.2839876144557,24.8108185659397,29.3376495174237
19.1666106573109,23.0467358042515,26.9268609511921
18.674801030223,23.135153462356,27.5955058944889
16.8524897154992,20.0361218976722,23.2197540798452
21.3598602271053,24.6552051099184,27.9505499927315
19.192045780209,25.1271333196892,31.0622208591695
14.7275434951138,24.3981633295544,34.068783163995
13.6090644845907,20.1880994816294,26.7671344786681
20.012237061504,24.8302010025344,29.6481649435648
15.4816391094916,21.4839833995967,27.4863276897018
19.7294388423515,24.6816773898604,29.6339159373694
19.6723330268167,25.3154862930906,30.9586395593646
15.9394844816936,20.0765953459416,24.2137062101895
21.4002015156708,27.3044616404803,33.2087217652898
19.4937917469301,25.431539493029,31.3692872391279
17.4600894311253,21.3378776131574,25.2156657951895
16.6920116959602,23.5587371332401,30.4254625705199
22.7652353337029,26.6473108363228,30.5293863389428
16.3964729773002,21.0809667996189,25.7654606219375
22.331964044699,28.9697855763343,35.6076071079696
18.3455415908821,23.7450976535038,29.1446537161255
19.1055244635152,22.5302360556188,25.9549476477224
23.3662035345658,27.0801253142996,30.7940470940335
19.3720489545208,23.5261567188054,27.68026448309
17.2301379269504,22.5924208560171,27.9547037850837
24.5706029930539,27.9530440093035,31.3354850255532
18.7941842815224,23.640597310587,28.4870103396516
15.2414324533702,20.2507101236053,25.2599877938405
26.6153031291543,30.3231557665784,34.0310084040026
13.8736704535737,20.7191280871614,27.5645857207492
19.2194188239953,24.2099922669612,29.2005657099272
22.2489968304537,29.9750596444955,37.7011224585373
18.4268590995916,22.9154963832743,27.4041336669571
19.6924809243559,24.4411161856864,29.1897514470169
20.988730762079,25.890195146561,30.7916595310431
22.5353845128239,28.3554668886836,34.1755492645433
15.6786227272545,20.8712844790386,26.0639462308227
21.9525253288776,26.4072744529663,30.862023577055
21.5945448494492,24.9909139392057,28.3872830289623
23.0227641738035,27.857087770892,32.6914113679804
17.4642606766995,23.6583426484101,29.8524246201206
20.1273385080463,24.4789580963727,28.8305776846991
20.3815364272031,24.8151444388024,29.2487524504017
24.4629204428099,31.0448308331172,37.6267412234245
20.0777331921462,26.3015535897777,32.5253739874093
18.803636674566,23.5855722498663,28.3675078251666
18.6151779657596,22.6160581158193,26.6169382658791
25.7088196803837,29.8374387501838,33.9660578199839
20.3473963926715,24.3853080656694,28.4232197386674
25.4726603924723,30.9627322494985,36.4528041065246
20.8326943541391,25.0425065158948,29.2523186776506
19.630439231491,23.2414782259902,26.8525172204893
21.2558454317098,26.0631531315693,30.8704608314288
14.888840318376,20.3449182721911,25.8009962260063
23.8440821631481,29.3219182164759,34.7997542698037
26.7844473074678,30.5247709761119,34.265094644756
21.3766568928105,25.281695513485,29.1867341341596
21.202608651569,24.2423641709454,27.2821196903218
19.3168195564173,23.9363606701932,28.555901783969
20.4984837438767,23.8340874969224,27.169691249968
22.1266580802633,26.0851528714392,30.0436476626151
