"trial","cur001","cur002","cur003","cur004","cur005","cur006","cur007","cur008","cur009","cur010","cur011","cur012","cur013","cur014","cur015","cur016","cur017","cur018","cur019","cur020"
1,-0.480589975437262,6.07211317834313,NA,8.34292520844885,4.60562101308577,4.79141110947399,5.91937159598469,NA,13.2316038291025,NA,-10.8449774592685,8.60514773145585,28.1483553034863,3.09102963124354,-1.1494975243622,-45.7173705751069,-5.83107717136717,0.144740851820481,1.98822215368101,-10.5527300251132
2,38.3355902744978,1.06576898566794,4.66615064731137,4.72366654201466,-7.74950857467422,10.3355035842854,-21.3017176594415,NA,2.64077492485212,-3.31741720434367,118.61832794056,-1.90357586753645,30.1040844682447,14.1712971120924,9.90916127628344,46.325808066071,13.3746099310747,0.975613551794553,-3.93991242138129,-10.0695456340476
3,23.8394301751296,3.76532905411133,NA,12.0393564785247,12.5117017241901,2.06869677955842,2.30951229697738,18.0030478609615,23.580852942525,6.69304741302857,14.2166027709221,6.25245770561954,51.9379032282715,-2.14185977286752,18.3647545031932,2.26718606385315,4.17171507615617,3.49826729618956,-25.5775274693733,3.3309497921709
4,49.143569244625,12.7429720710282,5.45074737217684,33.9996750802889,68.5989607561473,11.3076102495167,8.05211176930651,36.4959202750871,30.4400279784179,60.5141106799148,46.8224803895675,1.82069498264934,-19.1334884263802,25.702845486426,20.2682474844202,42.7625516712731,12.1759166648525,-4.88134161617346,15.1714376105241,8.23296531392967
5,-1.68957514922989,34.1981780662321,4.11498671869738,3.33525703573758,51.469701622046,6.07377759465596,-10.0039454796321,23.9628128068283,16.5214583505911,28.4591956441021,32.2099705201733,22.062990983998,29.9652200501213,4.9806119826289,20.5245343684005,44.3670150460909,5.40676844349451,-2.89564577203678,15.6920434915117,14.1042828561496
6,39.5102062518993,28.3602384511927,6.26449691428013,1.1341186358986,38.7413460667158,-5.20258917312923,26.777119182281,31.0105321566644,32.3090737954038,7.52276175978947,59.6410620213143,23.2766005102193,45.9177498667349,26.7649564779164,18.5615061719232,NA,14.774177487714,73.9582345649975,56.29468487049,-9.40195590504178
7,34.5127438563491,21.5591532268362,-3.041658193094,5.86092873245522,53.7676226184363,2.42507110158757,15.2740238131226,12.1935878169997,21.8492959637856,23.0684098219469,29.1283044823333,30.7675340069818,3.12430055367669,85.7848612597429,20.183719957403,42.9341062248391,9.00042963020277,71.1428510512465,43.0588978360363,9.23319467396789
8,41.4872014275962,53.1626810483111,8.37378768602122,6.60420678756106,36.5860034618643,23.9307226484373,15.088686584748,25.1149848515732,37.8684238062381,66.2858377334843,39.2056948482054,4.80511941980726,-5.65239087386067,34.0346744824048,99.8376894970434,16.554796001917,12.2032158233557,39.3017179079067,54.884278067899,73.8294600635903
9,30.1615130106391,29.3061185312322,-9.15099646640662,6.34031780755391,64.6167754990629,8.24230932215467,6.6931598047334,16.0423126502529,36.8479305791314,14.74001092614,46.3660253124491,22.6340540084292,10.2316842422823,-15.574397564918,17.3018534668721,18.3048485188524,7.32512229453818,33.1497925630713,54.5144814674786,17.1977480240115
10,32.1251407412553,35.2412461624273,14.738594142639,5.29255521560795,20.6786923062981,-2.14225986886604,35.2233040773123,48.0357571636077,32.9705704291065,31.9407590340323,51.3062794721478,40.4657873854608,45.9955008719666,55.6412221013344,27.7270846181029,42.3396144617119,9.46241481983732,57.9491570906827,32.8265791633532,22.8464447007856
