group,participant,rotated_b,passive_b,handangle_deg,bias_deg
30implicit,imp001,0,0,50,3.61316747546725
30implicit,imp001,0,0,90,8.50567735072692
30implicit,imp001,0,0,130,7.66660730366806
30implicit,imp002,0,0,50,1.20697715822632
30implicit,imp002,0,0,90,6.89383828384672
30implicit,imp002,0,0,130,7.97038806163993
30implicit,imp003,0,0,50,-21.8441309466242
30implicit,imp003,0,0,90,-12.9804727901251
30implicit,imp003,0,0,130,2.05816915107669
30implicit,imp004,0,0,50,-1.06540311823207
30implicit,imp004,0,0,90,2.5951026972263
30implicit,imp004,0,0,130,7.9268022636484
30implicit,imp005,0,0,50,-11.595260944853
30implicit,imp005,0,0,90,-0.855917838984278
30implicit,imp005,0,0,130,2.30044625309962
30implicit,imp006,0,0,50,-20.9596191673768
30implicit,imp006,0,0,90,-18.5664559113836
30implicit,imp006,0,0,130,-9.28979530503457
30implicit,imp007,0,0,50,-8.09965947737344
30implicit,imp007,0,0,90,1.81180158506189
30implicit,imp007,0,0,130,3.48113583421626
30implicit,imp008,0,0,50,-2.50006740799727
30implicit,imp008,0,0,90,3.81224552064502
30implicit,imp008,0,0,130,5.36708264560506
30implicit,imp009,0,0,50,3.23293259923815
30implicit,imp009,0,0,90,-0.701084939547812
30implicit,imp009,0,0,130,-10.6041702100555
30implicit,imp010,0,0,50,-1.16789124884178
30implicit,imp010,0,0,90,-3.65074535251751
30implicit,imp010,0,0,130,-0.696936893351494
30implicit,imp011,0,0,50,-17.6204967263074
30implicit,imp011,0,0,90,-6.04089105747216
30implicit,imp011,0,0,130,10.6288949091524
30implicit,imp012,0,0,50,-18.115299526147
30implicit,imp012,0,0,90,-8.45265636380728
30implicit,imp012,0,0,130,3.18412683267767
30implicit,imp013,0,0,50,-4.40509858192346
30implicit,imp013,0,0,90,0.553059761179223
30implicit,imp013,0,0,130,7.14079260916612
30implicit,imp014,0,0,50,-10.7593389199277
30implicit,imp014,0,0,90,-6.72885853667193
30implicit,imp014,0,0,130,3.82088437397238
30implicit,imp015,0,0,50,-8.21360458466112
30implicit,imp015,0,0,90,-6.48034054106517
30implicit,imp015,0,0,130,-7.20575034187996
30implicit,imp016,0,0,50,-9.66782485453047
30implicit,imp016,0,0,90,-3.5525264892494
30implicit,imp016,0,0,130,9.84179373903541
30implicit,imp017,0,0,50,-16.6383297132603
30implicit,imp017,0,0,90,-8.19698641427312
30implicit,imp017,0,0,130,3.19599772032252
30implicit,imp018,0,0,50,-2.29497996128845
30implicit,imp018,0,0,90,-2.82266847750414
30implicit,imp018,0,0,130,9.35993335308687
30implicit,imp019,0,0,50,-25.6267232616637
30implicit,imp019,0,0,90,-9.59709200963068
30implicit,imp019,0,0,130,1.94675028339308
30implicit,imp020,0,0,50,-5.45097541227838
30implicit,imp020,0,0,90,-5.29465626934133
30implicit,imp020,0,0,130,-11.7710442600762
30implicit,imp001,1,0,50,-6.22550291152069
30implicit,imp001,1,0,90,4.85681383248182
30implicit,imp001,1,0,130,-0.808560056886321
30implicit,imp002,1,0,50,-17.3249071628742
30implicit,imp002,1,0,90,-9.27675591003062
30implicit,imp002,1,0,130,-4.92818497319045
30implicit,imp003,1,0,50,-25.1361128098516
30implicit,imp003,1,0,90,-21.5060690014022
30implicit,imp003,1,0,130,-7.51527543167251
30implicit,imp004,1,0,50,-3.78413340637969
30implicit,imp004,1,0,90,-4.01337168267447
30implicit,imp004,1,0,130,6.58591921848885
30implicit,imp005,1,0,50,-18.0220624874852
30implicit,imp005,1,0,90,-16.3789197926185
30implicit,imp005,1,0,130,-5.62441544711493
30implicit,imp006,1,0,50,-13.7437714503495
30implicit,imp006,1,0,90,-5.52566645681381
30implicit,imp006,1,0,130,-4.36074639509155
30implicit,imp007,1,0,50,-11.3063458706907
30implicit,imp007,1,0,90,-2.71936695825122
30implicit,imp007,1,0,130,2.42926946887892
30implicit,imp008,1,0,50,-12.2796306127079
30implicit,imp008,1,0,90,-6.12311868926153
30implicit,imp008,1,0,130,-3.27668280122315
30implicit,imp009,1,0,50,-2.89797200717073
30implicit,imp009,1,0,90,-10.2847295777917
30implicit,imp009,1,0,130,-20.7955150750404
30implicit,imp010,1,0,50,-12.2346124845619
30implicit,imp010,1,0,90,-13.7931575232488
30implicit,imp010,1,0,130,-12.3240087094152
30implicit,imp011,1,0,50,-27.0681795556823
30implicit,imp011,1,0,90,-18.1516130482814
30implicit,imp011,1,0,130,-5.18293823784264
30implicit,imp012,1,0,50,-22.5584630908114
30implicit,imp012,1,0,90,-16.6146440354817
30implicit,imp012,1,0,130,-7.25586096996912
30implicit,imp013,1,0,50,-12.5468530602665
30implicit,imp013,1,0,90,-2.76088481910695
30implicit,imp013,1,0,130,7.33846175092025
30implicit,imp014,1,0,50,-10.0945459078759
30implicit,imp014,1,0,90,-4.83775547275986
30implicit,imp014,1,0,130,3.95024308166628
30implicit,imp015,1,0,50,-10.2477416080422
30implicit,imp015,1,0,90,-14.1330239570509
30implicit,imp015,1,0,130,-16.6349769979375
30implicit,imp016,1,0,50,-22.4817813353979
30implicit,imp016,1,0,90,-16.1088790941712
30implicit,imp016,1,0,130,-2.75416162479759
30implicit,imp017,1,0,50,-18.1652140050913
30implicit,imp017,1,0,90,-13.2415438891913
30implicit,imp017,1,0,130,-3.63476901658376
30implicit,imp018,1,0,50,-11.5042277985334
30implicit,imp018,1,0,90,-7.21297794616908
30implicit,imp018,1,0,130,0.652723465122137
30implicit,imp019,1,0,50,-29.8099188011524
30implicit,imp019,1,0,90,-8.01306898955388
30implicit,imp019,1,0,130,4.33561466533513
30implicit,imp020,1,0,50,-12.4042035580859
30implicit,imp020,1,0,90,-12.6606586836023
