"trial","exp001","exp002","exp003","exp004","exp005","exp006","exp007","exp008","exp009","exp010","exp011","exp012","exp013","exp014","exp015","exp016","exp017","exp018","exp019","exp020","exp021"
1,20.3630805391928,27.3311818170876,NA,NA,NA,NA,26.1796606553164,10.410665009833,28.2503954008969,38.6243198193318,48.772436303808,1.27644665815066,17.293618964119,19.458721280834,42.6580264459402,35.0940426017746,0.333400233338898,37.3550035513836,12.8405523704197,20.6530647429945,20.4160049167182
2,27.262286669268,5.77733481890265,23.524511102385,NA,30.8246773296456,7.57947626981678,-1.46676466470571,NA,NA,35.2446728711677,3.84023373351676,12.7234767066763,18.2307194369534,2.09867446228547,43.9689926214408,29.1944861728764,20.4313051891104,3.44914676098691,42.064485249311,26.4241931713469,NA
3,16.0771120432992,13.0081812800819,25.901767374243,35.3707838107923,30.5391836421761,-3.85218212869022,27.9048276811198,64.5114662606842,39.9763896551553,26.5539624251793,14.7751229248835,40.7712153537362,27.39689911585,15.6576747058352,16.9726752304444,4.9836894871756,19.6180456229389,6.90996488227001,6.99546213080773,29.7980301797524,5.01961259327773
4,33.586861084457,12.8759873152549,24.6302788091968,22.915616285615,19.1021872134875,11.2020029631543,20.0288617503571,26.2923769197258,19.642458523887,18.0961964954493,19.5662714375227,15.0668326629717,32.8858420217598,23.1700322210431,22.5878438527832,8.38353525737723,11.8915127595096,12.5124870937423,14.7631817911034,60.506017194114,46.3668124016348
5,16.2523790979333,20.5235133659123,15.2188728857794,12.3215283443901,10.4818851977286,10.5186487715145,5.68937218886815,6.3776729093361,18.5715028922854,14.8229585088736,16.1952347254995,8.21716466825454,15.4534364137403,27.1070498406672,10.7845700284761,10.9622564262492,53.2074139501893,32.336238725025,18.0498268969752,16.2034917771505,13.0267183390169
6,9.34427627603269,11.6261951082255,NA,11.4929025737961,26.1692570795198,31.9643313264123,16.2431161197305,11.5863578419574,18.9819127098459,25.1595926143518,20.5092426946519,12.5012155347175,32.5043481134945,0.944927578917756,32.4047096396374,43.4824718376349,22.2635126336029,15.2374184623448,25.999068524335,28.8373065085771,40.9717843648823
7,20.3392767800896,19.784522808927,27.71693865696,13.8181722562877,22.4384901285007,17.2809712703594,28.8163611002041,22.9515965662859,6.21028812148645,15.1607414614745,22.2519024696539,19.0088488804164,36.2771260875439,17.1233707266182,25.2596249781703,28.0022819048316,28.267397680166,16.7859137446185,34.8861232129175,10.5320518045436,38.5313584881211
8,30.4307946771943,17.811726754527,10.3422977979366,10.2386912379545,19.5196492633217,13.2327595462472,17.0931729299274,27.9096686946129,30.2819444974456,23.5190465775142,17.4229367361413,14.9698574352254,12.4979495793684,12.8778573443409,18.139117431294,5.22224256669496,22.5438426310075,14.5430734361834,24.6349870712083,45.6697736591497,26.742387262435
9,22.0998518157783,16.8361439273413,15.1827084408158,10.5127539544769,8.42657065603682,15.6523641132425,20.3063818055242,3.85630232710189,29.1525304800206,26.2983639780952,11.6948473484817,25.0536126841077,30.6645061397559,22.1915695265367,29.6095406736142,7.25257360771531,17.1235989834233,29.0863141442866,17.8450969889674,31.482911842998,9.21469761724668
10,21.352428711715,27.2057123384236,43.6523442050447,24.0183009181984,18.5598220670972,11.9556927604327,6.07655285960313,32.5673771558709,19.1733885170677,18.4253187845649,18.8705315015229,21.8015819336678,37.031898410056,9.87486280974624,16.8153609554009,21.1621321024971,24.6095787601746,18.9449485729018,20.7226434805467,20.6673738257303,15.1538650264192
