"V1","V2","V3"
-8.40340643197687,-4.70142674855788,-0.99944706513889
-2.73156203947403,7.30303500787183,17.3376320552177
-2.62584635167025,6.75245746171531,16.1307612751009
6.52852364860244,16.5290022301653,26.5294808117281
9.79059858408674,17.6105596192545,25.4305206544223
6.2032496699206,15.243737665736,24.2842256615514
14.576968556844,21.4853561425908,28.3937437283377
9.30299097640147,18.5476150711902,27.7922391659789
20.698154718646,26.9255485637898,33.1529424089337
17.3632287090143,23.1192551077595,28.8752815065047
12.4631726370315,18.94111803604,25.4190634350485
21.3731584167584,28.2293453806747,35.085532344591
21.4555769268062,27.3253788339975,33.1951807411888
14.2585696875241,23.6564039884419,33.0542382893597
20.9842655883895,25.6778649120167,30.371464235644
16.7734171590941,25.3600739781697,33.9467307972453
16.7289882441593,23.426585537693,30.1241828312267
18.0729446251397,23.7380071606909,29.4030696962422
20.9072907799799,25.6515824957823,30.3958742115847
20.762162792657,24.9852989599902,29.2084351273234
21.4291256041763,27.0431835540618,32.6572415039473
24.9729869412136,28.9702090876874,32.9674312341612
23.5491104645214,27.6821822391173,31.8152540137132
20.8878870684834,26.4508287693512,32.013770470219
21.3709886963316,26.2423814933911,31.1137742904506
22.021151887403,26.6666675986343,31.3121833098655
19.2564852718825,23.6435253508003,28.0305654297182
20.2423896369846,24.9566638553519,29.6709380737192
19.6343115954303,25.2157948332733,30.7972780711163
19.8071629523147,24.6625316630308,29.5179003737469
20.6499157863043,25.7358662981178,30.8218168099313
22.5357433115706,26.529942453615,30.5241415956594
17.8871722095238,22.7528392304775,27.6185062514313
19.6315072833267,24.9868054091386,30.3421035349505
21.286680787873,26.5334820130741,31.7802832382752
22.02498865954,26.3478953380267,30.6708020165134
23.9424342518138,28.2799280273699,32.617421802926
18.5761322647098,23.8205310498221,29.0649298349344
21.6319582115697,26.5744535583193,31.5169489050689
23.121249860119,26.8815577675116,30.6418656749043
21.6795911736623,24.7457914622445,27.8119917508267
18.6752567789959,22.8895254220552,27.1037940651145
22.2866212831843,25.7818040347341,29.276986786284
19.2297193302062,23.8610507205364,28.4923821108665
20.541305194074,24.866029603306,29.1907540125379
22.7349767174238,28.0227031056513,33.3104294938789
17.7175814769553,21.277889760902,24.8381980448486
20.5117132547557,25.8269300381064,31.1421468214571
20.6363697938036,25.183262262599,29.7301547313943
20.5205595670541,26.0486677646769,31.5767759622998
22.6010437118628,26.3668145669276,30.1325854219925
21.4661366769213,26.7118616306564,31.9575865843914
22.6863431602545,26.6525794861116,30.6188158119686
20.4046417163664,24.1720971637489,27.9395526111314
19.7897916011615,24.2976845723616,28.8055775435617
20.2307195493478,24.8850554331638,29.5393913169798
23.4567904984016,28.1894075446556,32.9220245909096
22.1198426620069,27.2936387946416,32.4674349272763
18.8136134883402,24.0002871376602,29.1869607869802
19.7157618454361,23.8257615605462,27.9357612756564
25.8483778168413,29.6269382439781,33.405498671115
17.0427630446657,21.7875930054498,26.5324229662339
21.6457410477564,25.6782439948668,29.7107469419772
21.232278386036,25.5862393592589,29.9402003324818
23.7153661745854,26.9013271100182,30.087288045451
18.5228543215537,22.4243245846284,26.325794847703
22.1647598804964,25.8827075314388,29.6006551823813
19.9661352413037,24.2606791415058,28.555223041708
24.8886584918658,29.8402727903455,34.7918870888252
20.473904352125,24.9565747495525,29.4392451469801
22.3374724749038,27.1471606838711,31.9568488928384
21.4040966080636,25.8963474129152,30.3885982177668
22.278563172336,25.6882256895902,29.0978882068444
20.1864228164473,24.6790618149305,29.1717008134136
24.2372330164327,29.3504649909683,34.463696965504
21.8385792382967,24.8195329211363,27.8004866039758
21.7377948908485,26.7014708235962,31.665146756344
23.7909207148606,28.845534770723,33.9001488265854
24.4972817596427,27.8207060934681,31.1441304272936
23.5012764113388,26.6038168713536,29.7063573313684
22.0145082435021,26.4066996042442,30.7988909649863
21.4789134435204,25.9060624946828,30.3332115458453
21.0275455503566,25.2695753807354,29.5116052111143
23.5813642016618,27.8322225636614,32.083080925661
23.5310798117478,26.8404378199495,30.1497958281512
25.732137367256,29.9768846966375,34.2216320260189
20.15632567553,24.7911219694562,29.4259182633825
28.6353811783686,31.6528751744496,34.6703691705306
22.9126531038951,26.8517018306322,30.7907505573694
20.3865133121162,25.4082238858011,30.429934459486
