participant,exclusive,inclusive
han001,2.20553623643491,42.8020194282763
han002,-2.0926996326869,32.4867278179734
han003,1.9893310400472,29.8662980767573
han004,5.96304249707356,37.5975544712369
han005,5.05606243283576,23.675498032379
han006,5.673463710429,31.3717941295782
han007,0.295324578060151,0.63275667017703
han008,1.84524817362213,31.4381176495902
han009,4.69253144266572,21.5184551353412
han010,2.67185921582589,22.8231325237286
han011,0.596962121304513,28.7242170537112
han012,4.60644770141764,32.6057144568743
han013,0.898637390749091,28.16550800311
han014,5.9299272736561,36.5059260486996
han015,7.83309930693247,7.83192143269809
han016,3.94039650173903,41.6479155716372
han017,3.21294685012372,30.7620354073166
han018,0.690352318512133,27.8848069602814
han019,3.54946456011653,38.0546072439668
han020,-0.435483981659141,26.5610933072357
han021,0.894025223577215,29.782703745355
han022,0.563083692169938,21.0322714994971
han023,6.56359021211133,31.2395317404102
han024,6.58070114607412,21.2499468811574
han025,1.68346841048157,29.1651786332937
han026,4.56662925111458,32.8239749685313
han027,3.50753099037094,26.538668379035
han028,-1.31348142984217,22.8845474777957
han029,-1.97303413748975,29.9694656845146
