"angle","ALact_p2.5","ALact_p50","ALact_p97.5","ROact_p2.5","ROact_p50","ROact_p97.5","act_p2.5","act_p50","act_p97.5","ALpas_p2.5","ALpas_p50","ALpas_p97.5","ROpas_p2.5","ROpas_p50","ROpas_p97.5","pas_p2.5","pas_p50","pas_p97.5","PredCons_p2.5","PredCons_p50","PredCons_p97.5"
50,-13.0149685820916,-8.89858133101773,-4.78219407994391,-18.4817717440989,-14.9918089962266,-11.5018462483542,-8.66185836073031,-6.09322766520883,-3.52459696968735,-15.3029282078631,-11.2355094313338,-7.16809065480453,-17.9782128137051,-14.2706872422426,-10.5631616707801,-5.3066547103974,-3.03517781090878,-0.763700911420155,-4.91514018346905,-3.05804985430005,-1.20095952513105
90,-6.58517834808983,-3.48748138964437,-0.389784431198906,-12.9723455492336,-9.92496958474898,-6.87759362026438,-9.53614547252158,-6.43748819510461,-3.33883091768764,-8.70417705181535,-5.31648307080814,-1.92878908980093,-12.7934702640054,-9.77797029530896,-6.76247032661255,-6.86630347166152,-4.46148722450082,-2.05667097734012,-3.95032247421927,-1.9760009706038,-0.00167946698832422
130,-0.91427131944377,2.31610541616814,5.54648215178004,-8.20250798477992,-4.45554367614371,-0.708579367507499,-9.41940430072294,-6.77164909231185,-4.12389388390075,-0.201531331250229,3.36891895035396,6.93936923195814,-7.67453199341552,-3.81899263099319,0.0365467314291403,-9.49476107426632,-7.18791158134715,-4.88106208842797,-1.2039503875532,0.416262489035302,2.0364753656238
