participant,rotated,passive,block,trial,arc,hand_angle,tap_angle
cur001,0,0,1,46,130,141.320298893794,143.460881289041
cur001,0,0,1,47,50,44.51970563637,42.8496935995416
cur001,0,0,1,48,90,103.229791945258,106.132458436373
cur001,0,0,1,49,90,70.7381172015441,77.0745122022923
cur001,0,0,1,50,50,68.7559866426406,72.3389108012838
cur001,0,0,1,51,130,137.671723312508,149.109684919103
cur001,0,0,1,52,50,39.7299548546151,25.7450188272202
cur001,0,0,1,53,130,133.332624579352,138.117915534659
cur001,0,0,1,54,90,70.5591499134561,72.5835511524511
cur001,0,0,1,55,90,111.934779309512,114.766523619395
cur001,0,0,1,56,130,106.02906435563,112.379400182132
cur001,0,0,1,57,50,74.5244438797181,78.1386976977844
cur001,0,0,1,58,130,141.848217633338,149.1101516269
cur001,0,0,1,59,50,35.7661785393722,23.2875339708648
cur001,0,0,1,60,90,81.7183405158148,68.9246563921552
cur001,0,0,1,61,90,107.66128312697,110.262585897837
cur001,0,0,1,62,50,73.9863331540714,76.1205976538884
cur001,0,0,1,63,130,109.133789123675,123.903760224732
cur001,0,0,2,118,90,101.494274320427,108.230151804718
cur001,0,0,2,119,130,148.341743662278,152.60567272018
cur001,0,0,2,120,50,44.2672644154442,32.2447875185207
cur001,0,0,2,121,90,112.635934799757,113.096426140454
cur001,0,0,2,122,130,117.103219772496,123.282076356733
cur001,0,0,2,123,50,69.9558285132259,67.5974222519095
cur001,0,0,2,124,90,108.414166238888,110.770366736592
cur001,0,0,2,125,50,46.7385683606661,43.2873804183221
cur001,0,0,2,126,130,135.573602186196,147.975457550521
cur001,0,0,2,127,50,73.971552579339,66.1319093551485
cur001,0,0,2,128,130,112.628191560028,111.571786927595
cur001,0,0,2,129,90,74.3963150936427,71.1683363188744
cur001,0,0,2,130,50,79.5316989554822,75.4912581459787
cur001,0,0,2,131,130,136.285722662541,153.986260679112
cur001,0,0,2,132,90,77.7360121038684,81.3668303499625
cur001,0,0,2,133,130,118.832052019446,119.304885483234
cur001,0,0,2,134,50,69.7896354560609,72.1536042023679
cur001,0,0,2,135,90,82.6771372673459,81.5466054348135
cur001,0,0,3,190,90,100.17984247847,111.821432418812
cur001,0,0,3,191,50,68.4774746173199,70.4981522081574
cur001,0,0,3,192,130,109.039137773206,106.210676838785
cur001,0,0,3,193,50,37.0591804390157,29.2205465070827
cur001,0,0,3,194,90,114.161792738027,115.097000697707
cur001,0,0,3,195,130,140.835460892126,144.100542670747
cur001,0,0,3,196,90,81.7897326839503,73.837034002555
cur001,0,0,3,197,130,128.531984768255,147.850004097283
cur001,0,0,3,198,50,37.2942755901745,20.041161544659
cur001,0,0,3,199,90,83.9591663512769,75.3270565907095
cur001,0,0,3,200,50,75.2236297678026,72.6213609611934
cur001,0,0,3,201,130,110.83503069946,116.944450718255
cur001,0,0,3,202,90,73.849389089289,72.4816900804746
cur001,0,0,3,203,50,78.368238213308,73.8420199028513
cur001,0,0,3,204,130,129.379257503767,144.875366108496
cur001,0,0,3,205,90,64.3719642039845,71.5937393956598
cur001,0,0,3,206,130,124.124151956592,135.023015056421
cur001,0,0,3,207,50,44.5358626025226,32.5718302473405
cur001,0,0,4,262,50,40.5952445721561,21.446813857893
cur001,0,0,4,263,90,71.58634481337,71.9830586616636
cur001,0,0,4,264,130,105.19344819669,110.834549180857
cur001,0,0,4,265,50,42.9997629397411,38.2191397213046
cur001,0,0,4,266,90,90.153126575262,83.1978012164968
cur001,0,0,4,267,130,118.566574832823,121.419244138448
cur001,0,0,4,268,50,83.0297769667278,84.9130834797213
cur001,0,0,4,269,90,105.018797148336,108.041978847002
cur001,0,0,4,270,130,117.822602271412,120.033094689231
cur001,0,0,4,271,50,83.4319942581307,84.4778443543715
cur001,0,0,4,272,90,112.042029115473,117.54551727342
cur001,0,0,4,273,130,142.626555898366,163.489833383238
cur001,0,0,4,274,50,69.9132831507806,80.3697295641778
