"angle","ALact_p2.5","ALact_p50","ALact_p97.5","ROact_p2.5","ROact_p50","ROact_p97.5","act_p2.5","act_p50","act_p97.5","ALpas_p2.5","ALpas_p50","ALpas_p97.5","ROpas_p2.5","ROpas_p50","ROpas_p97.5","pas_p2.5","pas_p50","pas_p97.5","PredCons_p2.5","PredCons_p50","PredCons_p97.5"
50,-9.36605292318596,-7.1587051159857,-4.95135730878544,-18.9901031472114,-15.1058370111335,-11.2215708750556,-11.4427284740181,-7.94713189514782,-4.45153531627757,-12.3087109683692,-8.87468362432531,-5.44065628028147,-17.7144851905183,-12.6496815559657,-7.58487792141297,-8.29349284723254,-3.77499793164035,0.743496983951845,-7.46804970979703,-4.17213396350747,-0.876218217217909
90,-5.94258906456537,-3.8898357237378,-1.83708238291022,-14.9461852591476,-12.2268327837184,-9.50748030828928,-10.9744468158723,-8.33699705998063,-5.69954730408892,-8.55000659728346,-5.84133736975406,-3.13266814222467,-15.2442728426021,-12.1668676238933,-9.08946240518455,-9.40962176844677,-6.32553025413924,-3.24143873983171,-4.26461319385747,-2.01146680584139,0.241679582174683
130,-2.12664406852107,0.160802185372419,2.44824843926591,-13.7654587741746,-10.5897194554672,-7.41398013675991,-13.498694126348,-10.7505216408397,-8.00234915533132,-2.56549840203752,0.263794207892238,3.093086817822,-12.4035710785782,-9.52890117701286,-6.65423127544752,-12.0798374801079,-9.7926953849051,-7.50555328970233,-2.60774215385117,-0.957826255934556,0.692089641982055
