"angle","ALact_p2.5","ALact_p50","ALact_p97.5","ROact_p2.5","ROact_p50","ROact_p97.5","act_p2.5","act_p50","act_p97.5","ALpas_p2.5","ALpas_p50","ALpas_p97.5","ROpas_p2.5","ROpas_p50","ROpas_p97.5","pas_p2.5","pas_p50","pas_p97.5","PredCons_p2.5","PredCons_p50","PredCons_p97.5"
50,0.2955123930104,2.33433916192222,4.37316593083404,-3.14279966502659,0.266994264769118,3.67678819456482,-4.5395696703304,-2.0673448971531,0.404879876024203,0.740095234334025,2.34685478593383,3.95361433753364,-3.10856956892972,0.608149537561391,4.32486864405251,-4.91054729460311,-1.73870524837244,1.43313679785822,-1.80719724561668,-0.328639648780659,1.14991794805536
90,-1.03034147603994,0.0330764766769129,1.09649442939377,-6.02047758395436,-3.20289864046673,-0.385319696979102,-6.06844864220253,-3.23597511714364,-0.403501592084762,-1.23504308375332,0.170748149489933,1.57653938273319,-5.7154168326851,-2.78250484717655,0.150407138331992,-5.80347041653596,-2.95325299666648,-0.103035576797007,-1.24209596983807,-0.28272212047716,0.676651728883746
130,-4.42764437752848,-2.85755761936027,-1.28747086119205,-9.46013563864919,-7.25974278954505,-5.05934994044092,-6.87013059756535,-4.40218517018478,-1.93423974280422,-4.71406104318198,-2.62270246634348,-0.531343889504984,-10.3430820107771,-7.5881969029439,-4.83331179511072,-7.68350319849691,-4.96549443660041,-2.24748567470391,-0.539168960977205,0.563309266415629,1.66578749380846
